exchange,coin,symbol,timestamp,best_bid,best_ask,mid_price,spread_bps
Orderly,,PERP_ETH_USDC,2026-06-01T18:18:58.476550+00:00,1983.44,1983.45,1983.4450000000002,0.0504173294444308
Hyperliquid,ETH,,2026-06-01T18:19:58.040570+00:00,1985.1,1985.2,1985.15,0.5037402715166935
Orderly,,PERP_ETH_USDC,2026-06-01T18:19:58.412644+00:00,1984.05,1984.06,1984.0549999999998,0.05040182857829499
Hyperliquid,ETH,,2026-06-01T18:20:58.141121+00:00,1984.8,1984.9,1984.85,0.5038164093011382
Orderly,,PERP_ETH_USDC,2026-06-01T18:20:58.482412+00:00,1984.13,1984.14,1984.1350000000002,0.050399796384776756
Hyperliquid,ETH,,2026-06-01T18:21:58.278374+00:00,1986.0,1986.1,1986.05,0.5035119961728509
Orderly,,PERP_ETH_USDC,2026-06-01T18:21:58.630861+00:00,1984.76,1984.77,1984.7649999999999,0.05038379858568095
Hyperliquid,ETH,,2026-06-01T18:22:58.380497+00:00,1985.9,1986.0,1985.95,0.5035373498824696
Orderly,,PERP_ETH_USDC,2026-06-01T18:22:59.166285+00:00,1984.88,1984.89,1984.8850000000002,0.05038075253725482
Hyperliquid,ETH,,2026-06-01T18:23:58.522058+00:00,1986.3,1986.4,1986.35,0.5034359503619021
Orderly,,PERP_ETH_USDC,2026-06-01T18:23:59.018681+00:00,1985.01,1985.02,1985.0149999999999,0.050377453067059465
Hyperliquid,ETH,,2026-06-01T18:24:58.646213+00:00,1986.4,1986.5,1986.45,0.5034106068610287
Orderly,,PERP_ETH_USDC,2026-06-01T18:24:58.972961+00:00,1985.27,1985.28,1985.275,0.05037085542300641
Hyperliquid,ETH,,2026-06-01T18:25:58.785799+00:00,1987.6,1987.7,1987.65,0.5031066837729803
Orderly,,PERP_ETH_USDC,2026-06-01T18:25:59.124188+00:00,1986.49,1986.5,1986.495,0.05033992031186037
Hyperliquid,ETH,,2026-06-01T18:26:58.936220+00:00,1987.7,1987.8,1987.75,0.5030813734116919
Orderly,,PERP_ETH_USDC,2026-06-01T18:26:59.262291+00:00,1986.19,1986.2,1986.1950000000002,0.05034752378286575
Hyperliquid,ETH,,2026-06-01T18:27:58.956542+00:00,1989.8,1989.9,1989.85,0.502550443501452
Orderly,,PERP_ETH_USDC,2026-06-01T18:27:59.275206+00:00,1988.59,1988.6,1988.5949999999998,0.05028676025028176
Hyperliquid,ETH,,2026-06-01T18:28:59.092374+00:00,1991.3,1991.4,1991.35,0.5021718934398094
Orderly,,PERP_ETH_USDC,2026-06-01T18:28:59.461747+00:00,1989.91,1989.92,1989.915,0.050253402783490275
Hyperliquid,ETH,,2026-06-01T18:29:59.181225+00:00,1991.8,1991.9,1991.85,0.5020458367855835
Orderly,,PERP_ETH_USDC,2026-06-01T18:29:59.553355+00:00,1990.33,1990.34,1990.335,0.0502427983228497
Hyperliquid,ETH,,2026-06-01T18:30:59.287456+00:00,1990.9,1991.0,1990.95,0.5022727843487231
Orderly,,PERP_ETH_USDC,2026-06-01T18:30:59.638448+00:00,1989.37,1989.38,1989.375,0.05026704367059141
Hyperliquid,ETH,,2026-06-01T18:31:59.438391+00:00,1991.2,1991.3,1991.25,0.5021971123661472
Orderly,,PERP_ETH_USDC,2026-06-01T18:31:59.790800+00:00,1989.87,1989.88,1989.875,0.05025441296673549
Hyperliquid,ETH,,2026-06-01T18:32:59.588341+00:00,1994.1,1994.2,1994.15,0.5014667903624924
Orderly,,PERP_ETH_USDC,2026-06-01T18:32:59.992268+00:00,1992.66,1992.67,1992.665,0.05018405000334178
Hyperliquid,ETH,,2026-06-01T18:33:59.726138+00:00,1994.0,1994.1,1994.05,0.5014919385166323
Orderly,,PERP_ETH_USDC,2026-06-01T18:34:00.145488+00:00,1992.42,1992.43,1992.4250000000002,0.050190094984709104
Hyperliquid,ETH,,2026-06-01T18:34:59.739074+00:00,1993.3,1993.4,1993.35,0.5016680462544783
Orderly,,PERP_ETH_USDC,2026-06-01T18:35:00.117906+00:00,1992.02,1992.03,1992.025,0.05020017319055185
Hyperliquid,ETH,,2026-06-01T18:35:59.806128+00:00,1993.4,1993.5,1993.45,0.5016428804329631
Orderly,,PERP_ETH_USDC,2026-06-01T18:36:00.689885+00:00,1991.85,1991.86,1991.855,0.05020445765374942
Hyperliquid,ETH,,2026-06-01T18:36:59.952857+00:00,1994.1,1994.2,1994.15,0.5014667903624924
Orderly,,PERP_ETH_USDC,2026-06-01T18:37:00.300923+00:00,1992.53,1992.54,1992.5349999999999,0.05018732418748431
Hyperliquid,ETH,,2026-06-01T18:38:00.087478+00:00,1993.5,1993.6,1993.55,0.5016177171373131
Orderly,,PERP_ETH_USDC,2026-06-01T18:38:00.506733+00:00,1991.82,1991.83,1991.8249999999998,0.05020521381140867
Hyperliquid,ETH,,2026-06-01T18:39:00.176149+00:00,1992.3,1992.4,1992.35,0.5019198434016936
Orderly,,PERP_ETH_USDC,2026-06-01T18:39:00.525476+00:00,1990.89,1990.9,1990.895,0.0502286660019283
Hyperliquid,ETH,,2026-06-01T18:40:00.219865+00:00,1992.8,1992.9,1992.85,0.5017939132405169
Orderly,,PERP_ETH_USDC,2026-06-01T18:40:00.566365+00:00,1991.45,1991.46,1991.455,0.050214541629064705
Hyperliquid,ETH,,2026-06-01T18:41:00.369054+00:00,1993.2,1993.3,1993.25,0.5016932145988162
Orderly,,PERP_ETH_USDC,2026-06-01T18:41:00.711678+00:00,1991.84,1991.85,1991.8449999999998,0.05020470970377166
Hyperliquid,ETH,,2026-06-01T18:42:00.451646+00:00,1993.3,1993.4,1993.35,0.5016680462544783
Orderly,,PERP_ETH_USDC,2026-06-01T18:42:00.892852+00:00,1991.81,1991.82,1991.815,0.0502054658690235
Hyperliquid,ETH,,2026-06-01T18:43:00.499516+00:00,1993.0,1993.1,1993.05,0.5017435588666067
Orderly,,PERP_ETH_USDC,2026-06-01T18:43:00.863441+00:00,1991.33,1991.34,1991.335,0.05021756761163192
Hyperliquid,ETH,,2026-06-01T18:43:58.328009+00:00,1992.8,1992.9,1992.85,0.5017939132405169
Orderly,,PERP_ETH_USDC,2026-06-01T18:43:58.664656+00:00,1991.21,1991.22,1991.2150000000001,0.05022059395891907
Hyperliquid,ETH,,2026-06-01T18:44:58.467325+00:00,1992.2,1992.3,1992.25,0.50194503701799
Orderly,,PERP_ETH_USDC,2026-06-01T18:44:58.838750+00:00,1990.59,1990.6,1990.5949999999998,0.05023623589927085
Hyperliquid,ETH,,2026-06-01T18:45:58.616667+00:00,1991.1,1991.2,1991.15,0.5022223338278704
Orderly,,PERP_ETH_USDC,2026-06-01T18:45:59.001583+00:00,1989.63,1989.64,1989.6350000000002,0.05026047491118171
Hyperliquid,ETH,,2026-06-01T18:46:58.766186+00:00,1991.3,1991.4,1991.35,0.5021718934398094
Orderly,,PERP_ETH_USDC,2026-06-01T18:46:59.091990+00:00,1989.72,1989.73,1989.725,0.05025820151021325
Hyperliquid,ETH,,2026-06-01T18:47:58.819242+00:00,1993.1,1993.2,1993.15,0.50171838547092
Orderly,,PERP_ETH_USDC,2026-06-01T18:48:00.010408+00:00,1991.65,1991.66,1991.6550000000002,0.0502094991350957
Hyperliquid,ETH,,2026-06-01T18:48:58.958820+00:00,1993.0,1993.1,1993.05,0.5017435588666067
Orderly,,PERP_ETH_USDC,2026-06-01T18:48:59.290806+00:00,1991.66,1991.67,1991.665,0.050209247036981146
